F2 | F2-PC-05 | HEARTBEAT OK
F2 | F2-PRINTER-04 | DNS OK
F1 | F1-CAM-01 | PACKETS TX 356
F2 | F2-PC-09 | DEVICE IDLE
F4 | F4-SW-02 | SESSION ACTIVE
F5 | F5-CORE-SW | PACKETS RX 128
F1 | F1-BADGE | FILE READ
F5 | F5-HR | FLOW NORMAL -> F4-CLOUD-01
F3 | F3-CLOUD | FLOW NORMAL -> F1-KIOSK
F5 | F5-FIREWALL | PACKETS TX 666
F3 | F3-FILE-01 | LOGIN FAIL user=admin
F2 | F2-PC-09 | LOGIN OK user=admin
F2 | F2-PC-05 | LOGIN FAIL user=guest
F2 | F2-PC-08 | AUTH FAIL user=admin
F1 | F1-BADGE | FILE READ
F3 | F3-PC-02 | LOGIN OK user=admin
F2 | F2-PC-02 | PACKETS TX 60
F2 | F2-SWITCH | SYNC OK
F3 | F3-PC-09 | DNS OK
F1 | F1-RECEPTION-02 | AUTH OK user=dev
F4 | F4-SW-02 | AUTH OK user=dev
F4 | F4-PC-06 | DNS OK
F5 | F5-FILE | PACKETS TX 621
F5 | F5-BACKUP | LINK ACTIVE -> F4-PC-02
F4 | F4-PC-06 | FLOW NORMAL -> F4-FILE-01
F4 | F4-PC-03 | FILE READ
F4 | F4-PC-03 | HEARTBEAT OK
F3 | F3-PC-10 | DEVICE IDLE
F4 | F4-BADGE | PACKETS RX 460
F2 | F2-PC-02 | DNS OK
F4 | F4-SW-01 | FILE WRITE
F4 | F4-SW-01 | PACKETS RX 171
F4 | F4-FILE-01 | FILE WRITE
F2 | F2-PC-08 | AUTH OK user=staff
F3 | F3-BADGE | PACKETS RX 490
F5 | F5-DOMAIN | PACKETS TX 71
F4 | F4-PC-04 | AUTH OK user=guest
F4 | F4-DEV-02 | ACCESS OK
F4 | F4-DEV-03 | SESSION ACTIVE
F4 | F4-CLOUD-02 | FLOW NORMAL -> F2-WIFI
F2 | F2-PRINTER-04 | FILE READ
F3 | F3-FILE-01 | LOGIN FAIL user=guest
F3 | F3-FILE-02 | PACKETS RX 509
F4 | F4-CLOUD-02 | SYNC OK
F1 | F1-BADGE | HEARTBEAT OK
F2 | F2-PC-10 | ACCESS OK
F3 | F3-FILE-02 | LOGIN FAIL user=guest
F3 | F3-PC-10 | FILE WRITE
F2 | F2-PRINTER-03 | LOGIN FAIL user=staff
F1 | F1-BADGE | AUTH FAIL user=admin
F5 | F5-HR | AUTH OK user=dev
F4 | F4-PC-02 | LOGIN FAIL user=dev
F4 | F4-FILE-02 | ACCESS OK
F5 | F5-BADGE | AUTH FAIL user=admin
F5 | F5-BACKUP | HEARTBEAT OK
F3 | F3-PC-07 | SESSION ACTIVE
F1 | F1-CAM-04 | FLOW NORMAL -> F3-CLOUD
F4 | F4-CLOUD-02 | FLOW NORMAL -> F4-PC-01
F2 | F2-PRINTER-01 | LINK ACTIVE -> F3-PC-08
F4 | F4-PC-02 | FILE WRITE
F4 | F4-PC-01 | LINK ACTIVE -> F3-FILE-01
F3 | F3-FILE-01 | AUTH OK user=dev
F2 | F2-SWITCH | SESSION ACTIVE
F2 | F2-PC-03 | SESSION ACTIVE
F5 | F5-FIREWALL | PACKETS TX 897
F3 | F3-CLOUD | PACKETS RX 281
F4 | F4-PC-02 | AUTH FAIL user=dev
F4 | F4-PC-01 | FLOW NORMAL -> F1-RECEPTION-01
F2 | F2-PC-08 | PACKETS RX 385
F5 | F5-FILE | FILE WRITE
F3 | F3-SWITCH | SESSION ACTIVE
F2 | F2-PC-04 | DNS OK
F2 | F2-PC-10 | SYNC OK
F2 | F2-SWITCH | AUTH FAIL user=reception
F4 | F4-CLOUD-01 | AUTH OK user=guest
F2 | F2-PC-07 | HEARTBEAT OK
F5 | F5-FINANCE | DEVICE IDLE
F3 | F3-FILE-03 | DEVICE IDLE
F2 | F2-PC-08 | LOGIN OK user=dev
F5 | F5-AUDIT | PACKETS TX 180
F3 | F3-FILE-02 | HEARTBEAT OK
F2 | F2-PC-06 | SYNC OK
F2 | F2-PC-07 | FLOW NORMAL -> F3-PC-03
F3 | F3-FILE-03 | FLOW NORMAL -> F3-BADGE
F2 | F2-PC-07 | AUTH OK user=reception
F2 | F2-PC-05 | AUTH OK user=guest
F5 | F5-FINANCE | FILE WRITE
F1 | F1-CAM-02 | DNS OK
F2 | F2-PC-04 | LINK ACTIVE -> F5-BACKUP
F1 | F1-CAM-04 | LOGIN FAIL user=guest
F3 | F3-PC-06 | LINK ACTIVE -> F1-WIFI
F3 | F3-FILE-02 | HEARTBEAT OK
F2 | F2-PC-03 | AUTH FAIL user=dev
F3 | F3-BADGE | DNS OK
F2 | F2-PRINTER-04 | DEVICE IDLE
F1 | F1-BADGE | AUTH OK user=staff
F3 | F3-PC-09 | DEVICE IDLE
F4 | F4-PC-01 | SESSION ACTIVE
F5 | F5-APP | SYNC OK
F5 | F5-APP | AUTH OK user=guest
F1 | F1-RECEPTION-01 | DNS OK
F2 | F2-SWITCH | PACKETS RX 179
F5 | F5-CORE-SW | HEARTBEAT OK
F2 | F2-PC-03 | DNS OK
F5 | F5-APP | LOGIN FAIL user=admin
F2 | F2-PRINTER-04 | LOGIN OK user=guest
F2 | F2-PRINTER-04 | DEVICE IDLE
F4 | F4-PC-04 | FILE WRITE
F3 | F3-PC-01 | SYNC OK
F4 | F4-DEV-02 | AUTH FAIL user=admin
F2 | F2-PC-06 | LOGIN OK user=guest
F5 | F5-AUDIT | FLOW NORMAL -> F5-HR
F4 | F4-PC-02 | PACKETS RX 574
F1 | F1-CAM-02 | AUTH OK user=admin
F5 | F5-HR | AUTH FAIL user=reception
F3 | F3-PC-10 | LOGIN OK user=dev
F3 | F3-FILE-03 | LOGIN OK user=staff
F4 | F4-DEV-02 | PACKETS RX 879
F4 | F4-FILE-01 | DNS OK
F1 | F1-WIFI | LOGIN FAIL user=admin
F2 | F2-PRINTER-03 | HEARTBEAT OK
F5 | F5-FILE | AUTH FAIL user=reception
F4 | F4-SW-01 | AUTH OK user=guest
F2 | F2-PC-09 | FILE READ
F4 | F4-DEV-01 | AUTH FAIL user=staff
F1 | F1-WIFI | DEVICE IDLE
F2 | F2-WIFI | PACKETS TX 209
F4 | F4-DEV-01 | AUTH FAIL user=staff
F4 | F4-FILE-01 | LOGIN FAIL user=admin
F3 | F3-PC-08 | FILE READ
F4 | F4-PC-01 | LOGIN FAIL user=dev
F4 | F4-DEV-01 | LOGIN FAIL user=dev
F3 | F3-PC-09 | FLOW NORMAL -> F4-CLOUD-01
F2 | F2-PC-04 | AUTH FAIL user=admin
F5 | F5-FILE | LOGIN FAIL user=staff
F2 | F2-PC-08 | HEARTBEAT OK
F2 | F2-PC-03 | LINK ACTIVE -> F1-WIFI
F5 | F5-HR | HEARTBEAT OK
F2 | F2-PRINTER-03 | FILE READ
F3 | F3-PRINTER-01 | FLOW NORMAL -> F3-FILE-02
F2 | F2-PC-03 | AUTH OK user=dev
F5 | F5-HR | LOGIN OK user=staff
F3 | F3-FILE-01 | LOGIN FAIL user=reception
F5 | F5-APP | ACCESS OK
F5 | F5-FIREWALL | PACKETS TX 832
F5 | F5-FIREWALL | HEARTBEAT OK
F1 | F1-CAM-01 | FILE WRITE
F2 | F2-PC-06 | FILE READ
F4 | F4-SW-02 | PACKETS TX 877
F4 | F4-PC-04 | LOGIN OK user=reception
F1 | F1-CAM-01 | LINK ACTIVE -> F2-PRINTER-03
F3 | F3-FILE-02 | SESSION ACTIVE
F5 | F5-FILE | FILE WRITE
F2 | F2-PC-08 | PACKETS RX 736
F4 | F4-PC-05 | LOGIN FAIL user=guest
F5 | F5-FILE | LOGIN FAIL user=reception
F2 | F2-PRINTER-01 | LINK ACTIVE -> F4-PC-06
F3 | F3-PC-07 | LOGIN FAIL user=dev
F4 | F4-PC-04 | DEVICE IDLE
F3 | F3-PC-10 | PACKETS TX 66
F1 | F1-BADGE | LINK ACTIVE -> F2-PC-07
F4 | F4-PC-02 | DEVICE IDLE
F1 | F1-BADGE | PACKETS TX 393
F2 | F2-PC-03 | FILE WRITE
F4 | F4-BADGE | DEVICE IDLE
F4 | F4-DEV-02 | DEVICE IDLE
F1 | F1-CAM-04 | SYNC OK
F3 | F3-PC-05 | SYNC OK
F3 | F3-FILE-03 | AUTH OK user=guest
F3 | F3-FILE-03 | AUTH FAIL user=admin
F2 | F2-PRINTER-02 | HEARTBEAT OK
F5 | F5-CORE-SW | PACKETS TX 42
F4 | F4-CLOUD-01 | FILE WRITE
F5 | F5-BACKUP | FILE WRITE
F3 | F3-PC-08 | HEARTBEAT OK
F5 | F5-BADGE | HEARTBEAT OK
F3 | F3-CLOUD | FILE READ
F4 | F4-PC-05 | PACKETS TX 590
F2 | F2-PC-03 | LOGIN FAIL user=guest
F3 | F3-BADGE | PACKETS TX 512
F5 | F5-APP | PACKETS TX 174
F3 | F3-FILE-02 | DEVICE IDLE
F4 | F4-FILE-02 | DNS OK
F5 | F5-HR | AUTH OK user=dev
F3 | F3-PC-01 | PACKETS RX 275
F1 | F1-CAM-03 | PACKETS RX 591
F4 | F4-DEV-01 | SYNC OK
F2 | F2-PC-02 | AUTH FAIL user=dev
F3 | F3-SWITCH | ACCESS OK
F1 | F1-WIFI | LOGIN FAIL user=reception
F3 | F3-BADGE | DEVICE IDLE
F2 | F2-BADGE | PACKETS RX 520
F3 | F3-FILE-02 | FILE WRITE
F5 | F5-FIREWALL | PACKETS TX 208
F4 | F4-DEV-03 | FILE READ
F3 | F3-PC-06 | LOGIN OK user=dev
F2 | F2-PRINTER-04 | HEARTBEAT OK
F5 | F5-AUDIT | SESSION ACTIVE
F5 | F5-HR | DNS OK
F4 | F4-CLOUD-02 | ACCESS OK
F5 | F5-CORE-SW | FILE WRITE
F1 | F1-CAM-04 | DNS OK
F4 | F4-PC-02 | LOGIN OK user=staff
F3 | F3-PC-04 | FLOW NORMAL -> F3-FILE-02
F4 | F4-FILE-02 | FILE WRITE
F3 | F3-CLOUD | AUTH OK user=staff
F4 | F4-DEV-02 | ACCESS OK
F3 | F3-PC-10 | SESSION ACTIVE
F3 | F3-PC-06 | SYNC OK
F4 | F4-DEV-01 | SYNC OK
F2 | F2-PC-05 | FLOW NORMAL -> F2-SWITCH
F1 | F1-BADGE | SYNC OK
F3 | F3-FILE-03 | LOGIN OK user=reception
F4 | F4-FILE-02 | FILE WRITE
F1 | F1-CAM-01 | DNS OK
F2 | F2-PRINTER-01 | ACCESS OK
F2 | F2-PC-08 | HEARTBEAT OK
F3 | F3-PC-07 | ACCESS OK
F2 | F2-PRINTER-03 | LINK ACTIVE -> F5-FILE
F1 | F1-RECEPTION-02 | LINK ACTIVE -> F2-PC-01
F3 | F3-CLOUD | PACKETS RX 891
F1 | F1-WIFI | FILE WRITE
F4 | F4-PC-02 | AUTH OK user=reception
F2 | F2-PC-08 | SYNC OK
F2 | F2-PC-05 | AUTH FAIL user=dev
F5 | F5-DOMAIN | ACCESS OK
F5 | F5-HR | AUTH OK user=staff
F2 | F2-PC-06 | PACKETS TX 341
F4 | F4-PC-05 | SYNC OK
F4 | F4-FILE-01 | DNS OK
F2 | F2-PC-09 | AUTH FAIL user=staff
F3 | F3-PC-01 | ACCESS OK
F4 | F4-SW-01 | FILE WRITE
F3 | F3-PC-06 | LINK ACTIVE -> F5-FILE
F5 | F5-CORE-SW | DEVICE IDLE
F2 | F2-PC-05 | PACKETS TX 562
F4 | F4-FILE-01 | LOGIN FAIL user=staff
F3 | F3-PC-09 | FLOW NORMAL -> F4-PC-02
F5 | F5-BADGE | DEVICE IDLE
F3 | F3-FILE-03 | HEARTBEAT OK
F1 | F1-CAM-01 | LINK ACTIVE -> F3-PC-04
F3 | F3-PC-06 | FILE READ
F3 | F3-FILE-03 | DEVICE IDLE
F2 | F2-PC-06 | SYNC OK
F4 | F4-SW-01 | FILE READ
F1 | F1-RECEPTION-01 | FILE READ
F3 | F3-PC-06 | PACKETS RX 96
F3 | F3-PC-04 | PACKETS RX 219
F2 | F2-PRINTER-01 | LOGIN OK user=admin
F4 | F4-DEV-02 | LINK ACTIVE -> F3-PC-09
F2 | F2-PC-01 | LOGIN FAIL user=reception
F4 | F4-DEV-02 | PACKETS TX 738
F4 | F4-FILE-01 | AUTH FAIL user=staff
F3 | F3-PC-07 | AUTH OK user=admin
F4 | F4-DEV-03 | PACKETS TX 468
F1 | F1-BADGE | LINK ACTIVE -> F2-PRINTER-04
F4 | F4-SW-01 | FLOW NORMAL -> F1-KIOSK
F4 | F4-DEV-01 | DNS OK
F3 | F3-FILE-03 | PACKETS TX 593
F2 | F2-PC-01 | AUTH FAIL user=staff
F3 | F3-PC-05 | FLOW NORMAL -> F4-DEV-02
F3 | F3-CLOUD | LOGIN OK user=reception
F2 | F2-PC-08 | ACCESS OK
F2 | F2-PRINTER-03 | PACKETS TX 822
F3 | F3-PC-10 | DNS OK
F2 | F2-PC-01 | FILE WRITE
F4 | F4-PC-03 | SESSION ACTIVE
F4 | F4-PC-06 | FILE READ
F3 | F3-PC-02 | HEARTBEAT OK
F1 | F1-RECEPTION-02 | SYNC OK
F2 | F2-PC-02 | LOGIN OK user=staff
F3 | F3-PC-07 | SESSION ACTIVE
F1 | F1-CAM-03 | FILE READ
F4 | F4-FILE-01 | ACCESS OK
F2 | F2-PC-10 | AUTH OK user=admin
F2 | F2-PRINTER-02 | AUTH FAIL user=guest
F5 | F5-DOMAIN | FILE WRITE
F4 | F4-CLOUD-01 | LOGIN FAIL user=guest
F3 | F3-PC-02 | DNS OK
F2 | F2-SWITCH | ACCESS OK
F3 | F3-PC-10 | LOGIN FAIL user=reception
F2 | F2-PC-07 | FILE WRITE
F3 | F3-BADGE | DNS OK
F3 | F3-PC-10 | DNS OK
F4 | F4-DEV-03 | SESSION ACTIVE
F4 | F4-DEV-02 | FLOW NORMAL -> F1-BADGE
F3 | F3-FILE-01 | ACCESS OK
F3 | F3-PC-04 | LOGIN OK user=staff
F4 | F4-PC-03 | LOGIN OK user=guest
F1 | F1-RECEPTION-01 | LOGIN FAIL user=staff
F3 | F3-PRINTER-01 | FILE READ
F3 | F3-PC-01 | FILE READ
F4 | F4-FILE-01 | ACCESS OK
F2 | F2-BADGE | AUTH FAIL user=dev
F1 | F1-CAM-04 | LINK ACTIVE -> F3-PRINTER-02
F3 | F3-PC-04 | LOGIN FAIL user=admin
F1 | F1-CAM-02 | HEARTBEAT OK
F3 | F3-PC-06 | FILE READ
F3 | F3-FILE-02 | FILE READ
F4 | F4-PC-03 | FLOW NORMAL -> F1-CAM-02
F2 | F2-PRINTER-03 | ACCESS OK
F2 | F2-PRINTER-02 | LOGIN FAIL user=admin
F4 | F4-CLOUD-02 | FLOW NORMAL -> F2-PC-02
F3 | F3-CLOUD | FILE WRITE
F2 | F2-PC-09 | ACCESS OK
F2 | F2-PC-05 | PACKETS TX 49
F2 | F2-PC-07 | LOGIN FAIL user=admin
F4 | F4-PC-02 | FILE WRITE
F3 | F3-PC-10 | ACCESS OK
F3 | F3-PC-07 | PACKETS TX 450
F2 | F2-PRINTER-02 | PACKETS TX 758
F5 | F5-FILE | FLOW NORMAL -> F4-SW-01
F1 | F1-CAM-03 | DNS OK
F2 | F2-PC-10 | LINK ACTIVE -> F3-PC-03
F2 | F2-PRINTER-04 | LINK ACTIVE -> F5-BADGE
F3 | F3-PC-07 | SESSION ACTIVE
F4 | F4-CLOUD-02 | FILE WRITE
F2 | F2-PC-05 | LOGIN FAIL user=guest
F4 | F4-SW-01 | DEVICE IDLE
F5 | F5-FILE | LOGIN OK user=reception
F2 | F2-PC-05 | FLOW NORMAL -> F2-PC-06
F4 | F4-BADGE | AUTH OK user=staff
F3 | F3-PC-10 | SESSION ACTIVE
F2 | F2-PRINTER-02 | ACCESS OK
F3 | F3-PC-01 | HEARTBEAT OK
F5 | F5-DOMAIN | SESSION ACTIVE
F4 | F4-DEV-03 | AUTH OK user=staff
F5 | F5-HR | AUTH FAIL user=admin
F1 | F1-BADGE | PACKETS RX 701
F2 | F2-PC-06 | FILE READ
F4 | F4-PC-03 | AUTH FAIL user=admin
F2 | F2-PC-10 | HEARTBEAT OK
F2 | F2-PC-01 | LOGIN OK user=reception
F4 | F4-CLOUD-01 | ACCESS OK
F1 | F1-KIOSK | PACKETS TX 48
F4 | F4-SW-02 | PACKETS TX 753
F2 | F2-PC-07 | DNS OK
F1 | F1-CAM-03 | PACKETS RX 334
F1 | F1-CAM-04 | AUTH OK user=dev
F4 | F4-PC-04 | AUTH OK user=reception
F3 | F3-PC-06 | SESSION ACTIVE
F3 | F3-PC-04 | FILE READ
F2 | F2-PC-02 | HEARTBEAT OK
F3 | F3-BADGE | SESSION ACTIVE
F4 | F4-PC-05 | FILE READ
F3 | F3-PC-10 | FLOW NORMAL -> F2-PC-06
F3 | F3-FILE-02 | LOGIN FAIL user=reception
F3 | F3-FILE-03 | FLOW NORMAL -> F4-PC-01
F2 | F2-PC-03 | DEVICE IDLE
F5 | F5-BACKUP | DNS OK
F5 | F5-FILE | LOGIN OK user=reception
F5 | F5-BADGE | ACCESS OK
F4 | F4-FILE-01 | AUTH OK user=reception
F4 | F4-PC-03 | SESSION ACTIVE
F4 | F4-FILE-02 | FILE WRITE
F2 | F2-PC-02 | LINK ACTIVE -> F5-BACKUP
F3 | F3-SWITCH | LOGIN OK user=staff
F2 | F2-PC-10 | LOGIN FAIL user=dev
F5 | F5-DOMAIN | AUTH OK user=admin
F4 | F4-CLOUD-02 | FILE WRITE
F2 | F2-PC-01 | LOGIN FAIL user=admin
F2 | F2-PC-10 | FLOW NORMAL -> F3-FILE-02
F3 | F3-PC-05 | FILE WRITE
F3 | F3-FILE-01 | LINK ACTIVE -> F2-BADGE
F1 | F1-CAM-02 | AUTH FAIL user=dev
F4 | F4-FILE-01 | FILE WRITE
F2 | F2-PC-03 | LOGIN OK user=dev
F3 | F3-PC-06 | DEVICE IDLE
F3 | F3-PC-06 | AUTH OK user=dev
F1 | F1-RECEPTION-02 | AUTH FAIL user=reception
F2 | F2-PRINTER-03 | SESSION ACTIVE
F4 | F4-PC-06 | LINK ACTIVE -> F2-PC-01
F4 | F4-DEV-03 | PACKETS RX 325
F4 | F4-CLOUD-01 | LOGIN OK user=dev
F3 | F3-PC-07 | PACKETS TX 896
F2 | F2-PRINTER-04 | DNS OK
F2 | F2-PRINTER-04 | AUTH OK user=dev
F3 | F3-PC-07 | AUTH FAIL user=reception
F5 | F5-CORE-SW | HEARTBEAT OK
F1 | F1-KIOSK | FILE READ
F2 | F2-PC-05 | HEARTBEAT OK
F2 | F2-PRINTER-02 | LOGIN FAIL user=reception
F4 | F4-DEV-01 | LOGIN FAIL user=admin
F4 | F4-PC-02 | FILE READ
F3 | F3-FILE-02 | AUTH OK user=staff
F2 | F2-PC-08 | HEARTBEAT OK
F2 | F2-SWITCH | AUTH FAIL user=guest
F2 | F2-SWITCH | HEARTBEAT OK
F3 | F3-BADGE | LOGIN FAIL user=staff
F3 | F3-PC-04 | FILE WRITE
F5 | F5-CORE-SW | DNS OK
F2 | F2-PC-02 | PACKETS RX 792
F4 | F4-CLOUD-02 | FLOW NORMAL -> F5-BADGE
F4 | F4-FILE-01 | HEARTBEAT OK
F2 | F2-PC-05 | SESSION ACTIVE
F2 | F2-PC-10 | LOGIN OK user=reception
F5 | F5-BADGE | HEARTBEAT OK
F4 | F4-SW-02 | SYNC OK
F2 | F2-WIFI | PACKETS RX 587
F4 | F4-PC-06 | LINK ACTIVE -> F3-PRINTER-02
F1 | F1-RECEPTION-01 | AUTH FAIL user=reception
F4 | F4-DEV-03 | LOGIN FAIL user=dev
F3 | F3-FILE-01 | LINK ACTIVE -> F5-FILE
F4 | F4-DEV-01 | LOGIN FAIL user=dev
F5 | F5-FILE | SYNC OK
F1 | F1-CAM-04 | HEARTBEAT OK
F4 | F4-FILE-01 | PACKETS TX 570
F1 | F1-WIFI | ACCESS OK
F4 | F4-DEV-03 | LOGIN FAIL user=guest
F5 | F5-HR | DEVICE IDLE
F4 | F4-SW-02 | FILE WRITE
F1 | F1-RECEPTION-02 | SESSION ACTIVE
F3 | F3-PC-10 | DNS OK
F5 | F5-BADGE | DEVICE IDLE
F4 | F4-SW-01 | SYNC OK
F5 | F5-APP | SYNC OK
F3 | F3-SWITCH | LOGIN OK user=staff
F3 | F3-FILE-01 | FILE READ
F4 | F4-DEV-03 | DEVICE IDLE
F5 | F5-BADGE | SESSION ACTIVE
F3 | F3-BADGE | PACKETS RX 711
F2 | F2-PC-02 | LOGIN FAIL user=staff
F2 | F2-PRINTER-03 | DNS OK
F2 | F2-PRINTER-01 | LOGIN FAIL user=guest
F4 | F4-DEV-03 | LOGIN FAIL user=admin
F3 | F3-PC-04 | DNS OK
F1 | F1-CAM-03 | HEARTBEAT OK
F4 | F4-PC-01 | ACCESS OK
F4 | F4-PC-01 | SESSION ACTIVE
F2 | F2-PRINTER-03 | LINK ACTIVE -> F1-WIFI
F3 | F3-SWITCH | FILE WRITE
F2 | F2-PC-05 | SYNC OK
F2 | F2-PC-06 | SYNC OK
F5 | F5-FILE | ACCESS OK
F3 | F3-SWITCH | DEVICE IDLE
F1 | F1-CAM-02 | ACCESS OK
F2 | F2-PC-10 | AUTH FAIL user=guest
F4 | F4-SW-01 | LOGIN OK user=guest
F2 | F2-PC-04 | AUTH FAIL user=dev
F1 | F1-CAM-02 | AUTH FAIL user=staff
F2 | F2-PC-06 | DNS OK
F4 | F4-PC-02 | SESSION ACTIVE
F3 | F3-FILE-01 | LOGIN OK user=dev
F5 | F5-HR | AUTH FAIL user=staff
F4 | F4-PC-02 | PACKETS TX 842
F2 | F2-PC-08 | AUTH FAIL user=staff
F4 | F4-SW-01 | FILE WRITE
F1 | F1-KIOSK | SYNC OK
F5 | F5-BADGE | PACKETS TX 297
F5 | F5-APP | SESSION ACTIVE
F2 | F2-PC-01 | ACCESS OK
F4 | F4-PC-03 | FILE WRITE
F4 | F4-PC-02 | SYNC OK
F2 | F2-PC-10 | FILE WRITE
F3 | F3-PC-03 | FLOW NORMAL -> F4-FILE-01
F4 | F4-DEV-02 | FILE WRITE
F4 | F4-CLOUD-01 | DEVICE IDLE
F1 | F1-BADGE | LOGIN OK user=staff
F1 | F1-RECEPTION-01 | AUTH OK user=guest
F3 | F3-SWITCH | PACKETS TX 415
F2 | F2-PRINTER-02 | FILE WRITE
F1 | F1-CAM-04 | FILE READ
F1 | F1-CAM-01 | FLOW NORMAL -> F1-CAM-04
F5 | F5-AUDIT | PACKETS RX 433
F4 | F4-DEV-01 | PACKETS RX 742
F3 | F3-CLOUD | DEVICE IDLE
F1 | F1-RECEPTION-01 | ACCESS OK
F5 | F5-DOMAIN | FLOW NORMAL -> F4-DEV-01
F4 | F4-SW-02 | DNS OK
F5 | F5-FIREWALL | LOGIN OK user=admin
F4 | F4-DEV-01 | DNS OK
F3 | F3-FILE-02 | AUTH OK user=guest
F5 | F5-CORE-SW | PACKETS TX 403
F2 | F2-PC-07 | PACKETS RX 222
F2 | F2-PC-02 | PACKETS RX 537
F3 | F3-SWITCH | SESSION ACTIVE
F1 | F1-RECEPTION-02 | HEARTBEAT OK
F5 | F5-FIREWALL | ACCESS OK
F3 | F3-PC-04 | PACKETS RX 747
F4 | F4-FILE-01 | AUTH FAIL user=guest
F4 | F4-PC-03 | ACCESS OK
F5 | F5-APP | DEVICE IDLE
F2 | F2-PC-06 | LINK ACTIVE -> F2-PC-06
F4 | F4-SW-02 | PACKETS RX 590
F1 | F1-KIOSK | LOGIN OK user=admin
F3 | F3-PC-04 | SYNC OK
F4 | F4-BADGE | PACKETS RX 295
F2 | F2-PC-08 | FILE READ
F5 | F5-AUDIT | SYNC OK
F2 | F2-PC-04 | PACKETS TX 532
F2 | F2-SWITCH | DEVICE IDLE
F4 | F4-CLOUD-01 | AUTH FAIL user=staff
F4 | F4-FILE-01 | FILE WRITE
F2 | F2-PC-01 | AUTH OK user=guest
F4 | F4-FILE-01 | FLOW NORMAL -> F5-BADGE
F3 | F3-PC-01 | LOGIN OK user=guest
F4 | F4-PC-03 | FILE READ
F5 | F5-AUDIT | FILE READ
F3 | F3-PC-07 | LOGIN FAIL user=reception
F4 | F4-SW-01 | LOGIN FAIL user=reception
F2 | F2-PRINTER-01 | FLOW NORMAL -> F5-APP
F2 | F2-PC-07 | LOGIN FAIL user=reception
F2 | F2-PC-07 | AUTH FAIL user=staff
F4 | F4-CLOUD-01 | LOGIN FAIL user=guest
F2 | F2-PRINTER-01 | DEVICE IDLE
F2 | F2-PC-06 | FILE WRITE
F2 | F2-PC-05 | AUTH FAIL user=admin
F3 | F3-FILE-01 | LINK ACTIVE -> F5-AUDIT
F2 | F2-PC-10 | AUTH FAIL user=admin
F3 | F3-FILE-03 | DEVICE IDLE
F3 | F3-FILE-02 | PACKETS RX 501
F1 | F1-BADGE | FLOW NORMAL -> F2-PC-09
F4 | F4-DEV-03 | LINK ACTIVE -> F3-FILE-03
F3 | F3-PC-10 | DNS OK
F2 | F2-PRINTER-04 | LOGIN FAIL user=guest
F2 | F2-PC-06 | DEVICE IDLE
F1 | F1-WIFI | LINK ACTIVE -> F4-DEV-03
F5 | F5-FINANCE | PACKETS RX 583
F4 | F4-SW-02 | PACKETS TX 804
F4 | F4-PC-04 | LOGIN FAIL user=dev
F2 | F2-PC-07 | FLOW NORMAL -> F5-APP
F4 | F4-CLOUD-01 | LOGIN OK user=reception
F2 | F2-PC-10 | PACKETS TX 95
F4 | F4-DEV-02 | FILE READ
F3 | F3-PC-03 | FILE READ
F3 | F3-SWITCH | LINK ACTIVE -> F4-SW-01
F3 | F3-PC-09 | AUTH OK user=staff
F1 | F1-BADGE | PACKETS RX 578
F2 | F2-PC-06 | AUTH OK user=staff
F5 | F5-FIREWALL | LINK ACTIVE -> F5-AUDIT
F2 | F2-SWITCH | LOGIN FAIL user=dev
F1 | F1-RECEPTION-02 | AUTH FAIL user=dev
F2 | F2-PRINTER-04 | HEARTBEAT OK
F3 | F3-PC-09 | DNS OK
F3 | F3-PC-05 | LOGIN OK user=guest
F5 | F5-CORE-SW | PACKETS TX 415
F1 | F1-CAM-02 | LOGIN FAIL user=guest
F3 | F3-SWITCH | FILE WRITE
F2 | F2-PRINTER-04 | FILE WRITE
F1 | F1-BADGE | PACKETS TX 395
F3 | F3-PC-06 | AUTH OK user=guest
F2 | F2-PC-03 | SESSION ACTIVE
F3 | F3-PC-10 | FLOW NORMAL -> F2-PRINTER-04
F3 | F3-PC-06 | AUTH OK user=staff
F3 | F3-FILE-03 | FILE WRITE
F2 | F2-PRINTER-02 | LINK ACTIVE -> F3-PRINTER-01
F2 | F2-PRINTER-04 | HEARTBEAT OK
F1 | F1-CAM-04 | PACKETS RX 403
F2 | F2-PC-03 | PACKETS TX 149
F4 | F4-DEV-02 | PACKETS TX 268
F4 | F4-PC-04 | AUTH FAIL user=guest
F2 | F2-WIFI | SYNC OK
F3 | F3-PC-04 | LOGIN FAIL user=dev
F5 | F5-APP | FILE READ
F2 | F2-PC-05 | ACCESS OK
F1 | F1-CAM-04 | PACKETS TX 479
F4 | F4-DEV-02 | AUTH OK user=reception
F1 | F1-BADGE | FILE WRITE
F3 | F3-PC-03 | HEARTBEAT OK
F3 | F3-PC-08 | AUTH FAIL user=staff
F2 | F2-PC-07 | PACKETS RX 585
F4 | F4-DEV-02 | LOGIN OK user=guest
F5 | F5-APP | DNS OK
F2 | F2-PC-09 | DEVICE IDLE
F5 | F5-FIREWALL | SESSION ACTIVE
F3 | F3-PC-05 | FILE WRITE
F4 | F4-SW-02 | LINK ACTIVE -> F1-KIOSK
F4 | F4-CLOUD-02 | PACKETS RX 672
F2 | F2-PRINTER-02 | HEARTBEAT OK
F1 | F1-CAM-04 | LOGIN FAIL user=admin
F3 | F3-PC-06 | FILE READ
